datetime,open,high,low,vwap,volume,close,HYG_open,HYG_high,HYG_low,HYG_vwap,HYG_volume,HYG_close,VIXY_open,VIXY_high,VIXY_low,VIXY_vwap,VIXY_volume,VIXY_close,SPY_open,SPY_high,SPY_low,SPY_vwap,SPY_volume,SPY_close
2020-03-20 17:24:00,139.53,139.55,139.4583,139.4979,9946.0,139.47,86.56,86.56,86.56,86.56,6996.0,86.56,14.02,14.02,14.02,14.02,1500.0,14.02,278.44,278.44,278.32,278.3513,364360.0,278.345
2020-03-20 17:23:00,139.68,139.69,139.525,139.6024,32986.0,139.525,86.56,86.56,86.56,86.56,500.0,86.56,14.02,14.02,14.02,14.02,1000.0,14.02,278.25,278.45,278.23,278.3572,208205.0,278.4401
2020-03-20 17:22:00,139.62,139.78,139.62,139.6929,18047.0,139.68,86.61,86.61,86.61,86.61,1258000.0,86.61,14.02,14.02,14.02,14.02,100.0,14.02,278.22,278.3,278.17,278.2318,150991.0,278.26
2020-03-20 17:21:00,139.62,139.66,139.58,139.6413,21759.0,139.61,86.55,86.55,86.55,86.55,11500.0,86.55,14.01,14.01,14.01,14.01,100.0,14.01,278.27,278.32,278.12,278.1995,154930.0,278.18
2020-03-20 17:20:00,139.54,139.69,139.54,139.6225,25704.0,139.64,86.56,86.56,86.56,86.56,1020.0,86.56,14.03,14.03,14.03,14.03,400.0,14.03,278.33,278.35,278.2115,278.2866,193206.0,278.27
2020-03-20 17:19:00,139.5,139.59,139.49,139.5552,15643.0,139.54,86.61,86.61,86.55,86.58,33400.0,86.55,14.01,14.01,14.01,14.01,600.0,14.01,278.4985,278.52,278.31,278.4408,148740.0,278.33
2020-03-20 17:18:00,139.5183,139.6,139.5,139.5509,17087.0,139.52,86.61,86.61,86.61,86.61,1071614.0,86.61,14.03,14.03,14.03,14.03,150.0,14.03,278.47,278.6,278.45,278.5175,119873.0,278.49
2020-03-20 17:17:00,139.48,139.54,139.48,139.5112,14304.0,139.5001,86.6,86.6,86.6,86.6,1200.0,86.6,14.01,14.03,14.01,14.0252,1250.0,14.03,278.4301,278.66,278.385,278.5351,348589.0,278.4701
2020-03-20 17:16:00,139.53,139.53,139.45,139.5116,26507.0,139.47,86.61,86.63,86.61,86.6101,44747.0,86.63,14.03,14.03,14.03,14.03,250.0,14.03,278.12,278.44,278.12,278.2491,287623.0,278.43
2020-03-20 17:15:00,139.55,139.6001,139.46,139.5338,22630.0,139.52,86.6,86.62,86.595,86.6042,548654.0,86.61,14.01,14.01,14.01,14.01,200.0,14.01,278.37,278.39,278.11,278.2474,266108.0,278.11
2020-03-20 17:14:00,139.61,139.611,139.52,139.5574,11761.0,139.53,86.595,86.6,86.59,86.5948,284072.0,86.595,14.0,14.0,14.0,14.0,100.0,14.0,278.47,278.47,278.29,278.3601,201888.0,278.3785
2020-03-20 17:13:00,139.505,139.63,139.48,139.5275,31703.0,139.58,86.6,86.61,86.59,86.5975,181272.0,86.6,14.0,14.0,14.0,14.0,1400.0,14.0,278.28,278.49,278.26,278.3671,218186.0,278.49
2020-03-20 17:12:00,139.45,139.52,139.4301,139.333,132478.0,139.5,86.605,86.61,86.6,86.604,129412.0,86.605,14.01,14.01,14.01,14.01,9164.0,14.01,278.25,278.35,278.22,278.2882,234339.0,278.285
2020-03-20 17:11:00,139.61,139.64,139.42,139.5236,54396.0,139.44,86.575,86.61,86.575,86.5883,225946.0,86.6,14.01,14.01,14.01,14.01,200.0,14.01,278.34,278.34,278.21,278.2708,181026.0,278.25
2020-03-20 17:10:00,139.56,139.63,139.55,139.5872,8812.0,139.61,86.57,86.58,86.56,86.5769,251556.0,86.57,13.98,13.98,13.98,13.98,311.0,13.98,278.35,278.38,278.31,278.3484,130160.0,278.34
2020-03-20 17:09:00,139.54,139.57,139.44,139.5233,22140.0,139.5301,86.57,86.58,86.57,86.5716,29229.0,86.57,13.98,13.98,13.98,13.98,143.0,13.98,278.37,278.47,278.33,278.4672,213106.0,278.35
2020-03-20 17:08:00,139.61,139.61,139.5,139.5729,16624.0,139.54,86.59,86.6,86.57,86.587,42045.0,86.57,13.97,13.97,13.97,13.97,100.0,13.97,278.44,278.4585,278.33,278.4032,213022.0,278.375
2020-03-20 17:07:00,139.74,139.74,139.58,139.6418,32167.0,139.58,86.6,86.6,86.59,86.598,76118.0,86.595,13.98,13.98,13.98,13.98,125.0,13.98,278.5,278.54,278.37,278.4578,226340.0,278.45
2020-03-20 17:06:00,139.61,139.72,139.59,139.6533,20127.0,139.7,86.59,86.6,86.585,86.5686,273836.0,86.595,13.99,13.99,13.99,13.99,1400.0,13.99,278.58,278.59,278.485,278.5359,180407.0,278.51
2020-03-20 17:05:00,139.68,139.68,139.58,139.6268,15676.0,139.58,86.585,86.59,86.58,86.5839,160744.0,86.585,13.98,13.98,13.98,13.98,600.0,13.98,278.58,278.72,278.57,278.6426,225144.0,278.59
2020-03-20 17:04:00,139.81,139.81,139.67,139.751,16116.0,139.68,86.605,86.605,86.58,86.5996,248232.0,86.58,13.99,13.99,13.99,13.99,6875.0,13.99,278.51,278.61,278.49,278.5547,114601.0,278.58
2020-03-20 17:03:00,139.85,139.93,139.8,139.8698,11266.0,139.8,86.61,86.62,86.6,86.6129,80896.0,86.605,14.0,14.0,14.0,14.0,300.0,14.0,278.44,278.54,278.42,278.4887,193226.0,278.52
2020-03-20 17:02:00,139.77,139.9,139.77,139.8445,13908.0,139.83,86.61,86.6128,86.6,86.6079,164711.0,86.61,14.01,14.01,14.01,14.01,300.0,14.01,278.43,278.49,278.38,278.4317,157368.0,278.45
2020-03-20 17:01:00,139.86,139.86,139.7201,139.8058,40631.0,139.77,86.62,86.62,86.61,86.6146,140319.0,86.6128,14.01,14.01,14.01,14.01,300.0,14.01,278.32,278.47,278.27,278.3629,332890.0,278.4201
2020-03-20 17:00:00,139.92,139.93,139.85,139.8859,10522.0,139.87,86.61,86.64,86.61,86.6245,80065.0,86.62,14.01,14.01,14.01,14.01,4125.0,14.01,278.34,278.36,278.19,278.2809,435153.0,278.32
2020-03-20 16:59:00,139.97,139.98,139.88,139.9125,12317.0,139.91,86.61,86.63,86.6,86.6148,370701.0,86.61,14.0,14.0,14.0,14.0,100.0,14.0,278.45,278.46,278.28,278.3506,255623.0,278.345
2020-03-20 16:58:00,139.99,140.08,139.95,140.012,25690.0,139.9675,86.605,86.62,86.6,86.6118,35697.0,86.615,14.0,14.0,14.0,14.0,100.0,14.0,278.5,278.56,278.45,278.5114,217063.0,278.45
2020-03-20 16:57:00,139.94,140.0,139.88,139.9247,32333.0,139.97,86.59,86.61,86.5819,86.5987,40634.0,86.6001,14.01,14.01,14.01,14.01,200.0,14.01,278.635,278.71,278.5,278.6123,243397.0,278.51
2020-03-20 16:56:00,139.9402,139.99,139.89,139.9266,15387.0,139.955,86.585,86.61,86.58,86.5959,59301.0,86.59,14.01,14.01,14.01,14.01,500.0,14.01,278.88,278.98,278.59,278.7579,343746.0,278.64
2020-03-20 16:55:00,139.8045,139.9474,139.8045,139.8929,4839.0,139.9474,86.5742,86.59,86.57,86.5786,184914.0,86.585,14.0,14.0,14.0,14.0,100.0,14.0,278.84,278.9402,278.74,278.8254,343047.0,278.89
2020-03-20 16:54:00,139.8,139.89,139.78,139.8436,19952.0,139.78,86.565,86.58,86.565,86.5684,47397.0,86.57,14.0,14.0,14.0,14.0,400.0,14.0,278.9,278.99,278.84,278.9053,189681.0,278.84
2020-03-20 16:53:00,139.69,139.87,139.69,139.7704,15665.0,139.81,86.545,86.57,86.54,86.5483,175994.0,86.565,13.98,13.98,13.98,13.98,250.0,13.98,278.95,279.1,278.86,278.9613,271440.0,278.9
2020-03-20 16:52:00,139.72,139.73,139.67,139.7007,8800.0,139.67,86.53,86.55,86.52,86.5344,28843.0,86.545,13.98,13.98,13.98,13.98,100.0,13.98,279.0,279.05,278.86,278.947,198885.0,278.95
2020-03-20 16:51:00,139.7511,139.81,139.69,139.7591,44247.0,139.72,86.53,86.54,86.5201,86.5302,52433.0,86.53,13.97,13.97,13.97,13.97,1502.0,13.97,279.03,279.06,278.91,278.9875,210836.0,278.97
2020-03-20 16:50:00,139.84,139.86,139.73,139.7647,49142.0,139.7597,86.535,86.535,86.52,86.5281,145271.0,86.53,14.0,14.0,14.0,14.0,2240.0,14.0,279.05,279.24,279.02,279.136,374316.0,279.06
2020-03-20 16:49:00,139.77,139.92,139.77,139.8206,49825.0,139.85,86.535,86.535,86.53,86.5328,11289.0,86.535,14.01,14.01,14.01,14.0101,5400.0,14.01,279.0,279.18,278.89,279.023,351430.0,279.06
2020-03-20 16:48:00,139.6698,139.78,139.66,139.7185,9394.0,139.76,86.54,86.54,86.53,86.5345,52563.0,86.535,14.0299,14.0299,14.0299,14.0288,362.0,14.0299,279.03,279.17,278.96,279.0777,303418.0,278.98
2020-03-20 16:47:00,139.62,139.74,139.59,139.6737,14665.0,139.65,86.54,86.55,86.5,86.5242,210833.0,86.535,14.02,14.02,14.02,14.02,100.0,14.02,279.03,279.09,278.87,278.9932,1036855.0,279.03
2020-03-20 16:46:00,139.55,139.61,139.502,139.5487,15960.0,139.595,86.495,86.54,86.49,86.5217,123355.0,86.535,14.02,14.02,14.02,14.02,200.0,14.02,279.11,279.15,278.98,279.1019,63639.0,279.03
2020-03-20 16:45:00,139.5,139.55,139.45,139.4958,12825.0,139.53,86.495,86.51,86.49,86.5001,296082.0,86.495,14.05,14.05,14.05,14.0499,550.0,14.05,279.23,279.23,279.06,279.1365,48757.0,279.13
2020-03-20 16:44:00,139.39,139.48,139.3601,139.4032,10232.0,139.48,86.495,86.5,86.49,86.4976,13837.0,86.495,14.0299,14.03,14.0299,14.0299,612.0,14.03,279.28,279.28,279.23,279.2351,15982.0,279.23
2020-03-20 16:43:00,139.38,139.41,139.31,139.3667,8785.0,139.3808,86.5,86.5,86.49,86.4977,16704.0,86.495,14.03,14.03,14.03,14.0297,185.0,14.03,279.24,279.3,279.24,279.2733,7048.0,279.28
2020-03-20 16:42:00,139.4501,139.48,139.36,139.4257,5644.0,139.38,86.53,86.53,86.5,86.5504,912668.0,86.5,14.09,14.09,14.09,14.09,500.0,14.09,279.14,279.24,279.14,279.2025,7525.0,279.24
2020-03-20 16:41:00,139.58,139.62,139.465,139.5624,15586.0,139.47,86.555,86.555,86.53,86.5477,104086.0,86.53,14.12,14.12,14.12,14.12,1000.0,14.12,279.17,279.19,279.16,279.1769,13008.0,279.16
2020-03-20 16:40:00,139.67,139.72,139.59,139.6515,10185.0,139.6,86.565,86.565,86.55,86.5539,77522.0,86.555,14.12,14.12,14.12,14.12,1738.0,14.12,279.13,279.16,279.13,279.1317,25306.0,279.16
2020-03-20 16:39:00,139.67,139.68,139.59,139.6436,19941.0,139.66,86.565,86.565,86.56,86.5632,3223.0,86.56,14.11,14.11,14.11,14.1099,911.0,14.11,279.08,279.1,279.08,279.0956,9538.0,279.1
2020-03-20 16:38:00,139.68,139.76,139.61,140.7239,204606.0,139.69,86.575,86.575,86.56,86.5686,20258.0,86.56,14.11,14.11,14.1,14.105,400.0,14.1,279.11,279.11,279.08,279.0896,7863.0,279.08
2020-03-20 16:37:00,139.78,139.81,139.65,140.5407,882895.0,139.65,86.57,86.5781,86.57,86.5723,7957.0,86.575,14.1,14.1,14.1,14.1,100.0,14.1,279.08,279.11,279.08,279.0856,11935.0,279.08
2020-03-20 16:36:00,139.73,139.79,139.66,139.711,28952.0,139.79,86.575,86.585,86.57,86.5789,43714.0,86.57,14.11,14.11,14.11,14.11,200.0,14.11,279.09,279.09,279.07,279.0874,1352.0,279.07
2020-03-20 16:35:00,139.62,139.8,139.62,139.698,36942.0,139.72,86.55,86.575,86.55,86.5622,143292.0,86.575,14.11,14.12,14.11,14.1106,1813.0,14.11,279.08,279.12,279.08,279.0873,2186.0,279.08
2020-03-20 16:34:00,139.71,139.76,139.57,139.687,15444.0,139.65,86.55,86.5589,86.55,86.5518,20874.0,86.55,14.13,14.15,14.13,14.1325,2163.0,14.15,279.1,279.13,279.1,279.1174,2811.0,279.1
2020-03-20 16:33:00,139.679,139.73,139.59,139.6493,9985.0,139.73,86.57,86.57,86.55,86.565,76379.0,86.55,14.08,14.13,14.08,14.107,3050.0,14.13,279.1,279.12,279.1,279.1131,8458.0,279.12
2020-03-20 16:32:00,139.536,139.77,139.53,139.666,29880.0,139.71,86.57,86.575,86.57,86.5701,65581.0,86.57,13.915,14.1,13.91,13.9806,115234.0,14.1,279.1,279.1,279.05,279.0871,3851.0,279.05